Title,Description,Acceptatiecriteria,Path,Status
"Base Controller instellen","Zorg dat de base controller correcte namespace en helper-methodes heeft.","Controller laadt zonder syntax-fouten;Commentaar/usage toegevoegd;Routes die deze controller gebruiken blijven werken","app/Http/Controller.php",not-started
"Admin Auth controller","Beheer admin login/logout en sessies.","Login en logout endpoints werken;Validatie van credentials is aanwezig;Eventuele redirects voor admin-UI getest","app/Http/Controllers/Admin/AuthController.php",not-started
"Admin Score beheer controller","CRUD voor scores in admin UI.","Score lijst, edit, update en delete werken;Form-requests/validatie toegepast;Admin-only toegang via middleware","app/Http/Controllers/Admin/ScoreAdminController.php",not-started
"API Score controller","Publieke API voor het aanleveren en opvragen van scores.","Endpoints voor create/list beschikbaar en gedocumenteerd;API-token of rate-limit middleware toegepast;JSON responses volgen API-contract","app/Http/Controllers/Api/ScoreController.php",not-started
"Web Leaderboard controller","Renders leaderboard views en filters.","Pagina toont top scores;Paginatie en sortering werken;View data is gevalideerd en veilig (XSS-safe)","app/Http/Controllers/Web/LeaderboardController.php",not-started
"Middleware: AdminAuth","Zorgt dat admin routes beveiligd zijn.","Beveiliging voor admin routes actief;Redirect naar admin login bij ontbreken van rechten;Unit/feature test de toegang","app/Http/Middleware/AdminAuth.php",not-started
"Middleware: Authenticate","Algemene auth middleware.","Werkt samen met Laravel auth guard;Redirect/JSON response correct voor web/api","app/Http/Middleware/Authenticate.php",not-started
"Middleware: CheckLeaderboardApiToken","Valideert API token voor leaderboard endpoints.","Afwijzing bij ontbrekend of ongeldig token;Logs/headers correct gezet;Tests voor accept/deny","app/Http/Middleware/CheckLeaderboardApiToken.php",not-started
"Middleware: EncryptCookies","Cookie encryptie configuratie.","Cookies blijven leesbaar door app;Geen regressie in sessie/CSRF","app/Http/Middleware/EncryptCookies.php",not-started
"Middleware: LeaderboardTokenMiddleware","Extra token checks voor leaderboard functionaliteit.","Specifieke header of param gecontroleerd;Compatibel met API routes","app/Http/Middleware/LeaderboardTokenMiddleware.php",not-started
"Middleware: PreventRequestsDuringMaintenance","Stopt requests tijdens maintenance.","Laravel maintenance modus respecteert deze middleware;API krijgt juiste statuscode","app/Http/Middleware/PreventRequestsDuringMaintenance.php",not-started
"Middleware: RedirectIfAuthenticated","Redirects voor reeds ingelogde gebruikers.","Gebruikers worden correct doorgestuurd;Testcases voor web flows","app/Http/Middleware/RedirectIfAuthenticated.php",not-started
"Middleware: TrimStrings","Trims input strings.","Whitespace verwijderd van input;Exclude arrays en bestanden nog correct","app/Http/Middleware/TrimStrings.php",not-started
"Middleware: TrustProxies","Proxy headers configuratie.","Proxy headers juist geïnterpreteerd;Correcte APP_URL en scheme bij proxied requests","app/Http/Middleware/TrustProxies.php",not-started
"Middleware: ValidateSignature","Ondertekende URL-validatie.","Ongeldige tekeningen resulteren in 403;Gekeurde routes blijven werken","app/Http/Middleware/ValidateSignature.php",not-started
"Middleware: VerifyCsrfToken","CSRF bescherming.","Forms met CSRF-token geaccepteerd;Exclusions (API endpoints) correct ingesteld","app/Http/Middleware/VerifyCsrfToken.php",not-started
"Kernel configuratie","Register middleware groups en route middleware.","Alle middleware geregistreerd;Middleware groepen voor web/api correct ingesteld;Geen duplicate of ontbrekende middleware","app/Http/Kernel.php",not-started
"Model: Score","Eloquent model voor scores.","$fillable bevat de juiste velden;Relaties correct;Model heeft passende casts en mutators;Unit test aanwezig","app/Models/Score.php",not-started
"Model: User","Eloquent model voor gebruikers.","Auth-guard compatibel;$fillable,$hidden en casts correct ingesteld;Eventuele admin-flag aanwezig en getest","app/Models/User.php",not-started
"Service Provider: AppServiceProvider","App-brede bindings en bootstrapping.","Bindings werken zonder errors;Eventuele view composers of macros goed geregistreerd;Performance: geen zware operaties in boot()","app/Providers/AppServiceProvider.php",not-started
"B1-K1 W1 — Plant werkzaamheden en bewaakt voortgang","Je maakt een planning, stelt doelen, bewaakt voortgang en communiceert met opdrachtgever of team.","Projectplanning aanwezig;Communicatie/logboek aanwezig;Voortgang bijgehouden","docs/project-plan.md",not-started
"B1-K1 W2 — Ontwerpt software","Je maakt een (deel)ontwerp;onderbouw keuzes en privacy/security.","ERD of UML aanwezig;Ontwerpkeuzes gedocumenteerd;Wireframes toegevoegd","docs/erd.md;docs/design.md;resources/views/",not-started
"B1-K1 W3 — Realiseert (onderdelen van) software","Je programmeert onderdelen van software volgens codeconventies.","Kernfunctionaliteit geïmplementeerd;Commits aanwezig;Basis tests groen","app/Http/Controllers/Web/LeaderboardController.php;app/Http/Controllers/Api/ScoreController.php;app/Http/Controllers/Admin/ScoreAdminController.php;app/Models/Score.php;app/Models/User.php;app/Providers/AppServiceProvider.php",not-started
"B1-K1 W4 — Test software","Je maakt testscenario’s en voert testen uit.","Testplan aanwezig;Tests draaien en resultaten gedocumenteerd","docs/testplan.md;tests/Unit;tests/Feature",not-started
"B1-K1 W5 — Doet verbetervoorstellen","Je analyseert feedback en doet voorstel.","Verbeterpuntenlijst;Commits/PRs met fixes;Changelog bijgewerkt","docs/verbeterplan.md;CHANGELOG.md",not-started
"B1-K2 W1 — Voert overleg","Neemt deel aan teamoverleg en maakt afspraken.","Meeting minutes aanwezig;Acties toegewezen","docs/meetings/",not-started
"B1-K2 W2 — Presenteert het opgeleverde werk","Je presenteert het resultaat en licht keuzes toe.","Slides/demo instructie beschikbaar;Opname of demo link aanwezig","docs/presentatie/;docs/demo.md",not-started
"B1-K2 W3 — Reflecteert op het werk","Je evalueert eigen werk en teamproces.","Reflectieverslag aanwezig;3 verbeterpunten en acties","docs/reflectie.md",not-started
"Generieke onderdelen — Nederlands, Rekenen, Engels, L&B","Voldoet aan generieke eisen.","Bewijsstukken toegevoegd;Status gedocumenteerd","docs/generic/",not-started
"Profieldeel Software Developer (P1) — Eindproject bewijs","Laat zien dat je software functioneel, veilig en gebruiksvriendelijk is.","README en bewijsstukken aanwezig;Demo link toegevoegd","README.md;docs/evidence/;docs/installation.md",not-started
